25	この自転車は＿＿＿しょうがない。	古くて	乗りにくくて	気に入って	\N	b
25	犬が飼い主にそっくりなのが＿＿＿たまらなかった。	おかしくて	珍しくて	笑って	\N	a
25	妹はわたしが持っているバッグが＿＿＿。	欲しくてしかたがない	欲しがってしかたがない	欲しくてしかたがないようだ	\N	c
24	これからわたしたちの力で、明るい日本を＿＿＿ではありませんか。	作っていこう	作っていく	作っていくの	\N	a
24	皆さん、リサイクル運動に＿＿＿。	協力しようではない	協力しようではないのか	協力しようではないか	\N	c
24	けがをしたくなければ、工事現場には＿＿＿。	入ることではない	入らないことだ	入らないほうがいいことだ	\N	b
24	子供にはまず正しい生活習慣を＿＿＿ことだと思う。	身につけさせる	身につけさせた	身につけさせての	\N	a
24	＿＿＿、うそをつかないことだ。	信頼関係を作るのは	信用される人というのは	人に信用されたいのなら	\N	c
24	親は子供の面倒をちゃんと＿＿＿ものだ。	見る	見ている	見た	\N	a
24	＿＿＿は、借りたらすぐ返すものだ。	1,000円	お金	あの時のお金	\N	b
24	＿＿＿ときは、前日よく休むものです。	山登りをする	今度の連休に富士山に登る	A社のツアーで富士山に登る	\N	a
26	すみません、来週の旅行なんですが、用事ができたので＿＿＿が。	キャンセルしたいんです	キャンセルしたいものです	キャンセルしてほしいものです	\N	a
21	100メートル走ったくらいで＿＿＿なんて、運動不足だ。	疲れてしまった	まだ走れる	もっと走ろう	\N	a
21	メールの返事を１件書くくらい＿＿＿。	大変ですよ	簡単でしょう	１時間かかりました	\N	b
21	わたしは＿＿＿くらいで薬は飲まない。	風邪を引いた	病気になった	熱がない	\N	a
21	お金など＿＿＿と思っていた時もあった。	たくさん欲しい	必要ない	どんどんなくなってしまう	\N	b
26	彼はこの問題に関係ないのだから、＿＿＿ものだ。	口をはさみたくない	口をはさまないでほしい	口をはさまないでいたい	\N	b
26	＿＿＿を食べてみたいものだ。	あ、そのおいしそうな料理	今日はユリさんのうちで手料理	一度、その珍しい魚	\N	c
14	彼は母親が＿＿＿にもかかわらず、毎日遊び歩いている。	入院	入院中だ	入院中である	\N	c
14	「うるさい」と注意されたにもかかわらず、みんな＿＿＿。	おしゃべりをやめない	黙っている	しばらく静かにした	\N	a
14	このような大雨にもかかわらず、＿＿＿。	皆さん、集まってください	みんなで集まりましょう	ようこそお集まりくださいました	\N	c
25	仕事中だが、今やっている試合の＿＿＿しょうがない。	結果を気にして	結果が気になって	結果がわからなくて	\N	b
25	一人暮らしを始めて最初のころは、＿＿＿ならなかった。	お金がかかって	時間が足りなくて	寂しくて	\N	c
25	今日紹介された松本さんにはどこかで一度会っているような＿＿＿ならない。	気がして	気にして	気になって	\N	a
