1,古くて,1,0
2,乗りにくくて,1,1
3,気に入って,1,0
4,おかしくて,2,1
5,珍しくて,2,0
6,笑って,2,0
7,欲しくてしかたがない,3,0
8,欲しがってしかたがない,3,0
9,欲しくてしかたがないようだ,3,1
10,作っていこう,4,1
11,作っていく,4,0
12,作っていくの,4,0
13,協力しようではない,5,0
14,協力しようではないのか,5,0
15,協力しようではないか,5,1
16,入ることではない,6,0
17,入らないことだ,6,1
18,入らないほうがいいことだ,6,0
19,身につけさせる,7,1
20,身につけさせた,7,0
21,身につけさせての,7,0
22,信頼関係を作るのは,8,0
23,信用される人というのは,8,0
24,人に信用されたいのなら,8,1
25,見る,9,1
26,見ている,9,0
27,見た,9,0
28,"1,000円",10,0
29,お金,10,1
30,あの時のお金,10,0
31,山登りをする,11,1
32,今度の連休に富士山に登る,11,0
33,A社のツアーで富士山に登る,11,0
34,キャンセルしたいんです,12,1
35,キャンセルしたいものです,12,0
36,キャンセルしてほしいものです,12,0
37,疲れてしまった,13,1
38,まだ走れる,13,0
39,もっと走ろう,13,0
40,大変ですよ,14,0
41,簡単でしょう,14,1
42,１時間かかりました,14,0
43,風邪を引いた,15,1
44,病気になった,15,0
45,熱がない,15,0
46,たくさん欲しい,16,0
47,必要ない,16,1
48,どんどんなくなってしまう,16,0
49,口をはさみたくない,17,0
50,口をはさまないでほしい,17,1
51,口をはさまないでいたい,17,0
52,あ、そのおいしそうな料理,18,0
53,今日はユリさんのうちで手料理,18,0
54,一度、その珍しい魚,18,1
55,入院,19,0
56,入院中だ,19,0
57,入院中である,19,1
58,おしゃべりをやめない,20,1
59,黙っている,20,0
60,しばらく静かにした,20,0
61,皆さん、集まってください,21,0
62,みんなで集まりましょう,21,0
63,ようこそお集まりくださいました,21,1
64,結果を気にして,22,0
65,結果が気になって,22,1
66,結果がわからなくて,22,0
67,お金がかかって,23,0
68,時間が足りなくて,23,0
69,寂しくて,23,1
70,気がして,24,1
71,気にして,24,0
72,気になって,24,0
